category	GOID	GOterm	nall	nset	nhits	nrefs	p	fdr	hits	hits2
Process	GO:0034641	cellular nitrogen compound metabolic process	4511	29	22	1649	2.01e-5	0.0011	YAL035W,YDL047W,YDR226W,YDR341C,YEL058W,YGL120C,YHR070W,YHR074W,YJL087C,YKR024C,YLR276C,YLR316C,YMR059W,YMR128W,YMR131C,YMR146C,YNL221C,YNL248C,YNR016C,YNR038W,YOR207C,YPR041W	FUN12,SIT4,ADK1,YDR341C,PCM1,PRP43,TRM5,QNS1,TRL1,DBP7,DBP9,TAD3,SEN15,ECM16,RRB1,TIF34,POP1,RPA49,ACC1,DBP6,RET1,TIF5
Process	GO:0016072	rRNA metabolic process	4511	29	9	242	1.58e-5	0.0011	YAL035W,YGL120C,YKR024C,YLR276C,YMR128W,YMR131C,YNL221C,YNL248C,YNR038W	FUN12,PRP43,DBP7,DBP9,ECM16,RRB1,POP1,RPA49,DBP6
Process	GO:0010467	gene expression	4511	29	18	1107	2.15e-5	0.0011	YAL035W,YDL047W,YDR341C,YGL120C,YHR070W,YJL087C,YKR024C,YLR276C,YLR316C,YMR059W,YMR128W,YMR131C,YMR146C,YNL221C,YNL248C,YNR038W,YOR207C,YPR041W	FUN12,SIT4,YDR341C,PRP43,TRM5,TRL1,DBP7,DBP9,TAD3,SEN15,ECM16,RRB1,TIF34,POP1,RPA49,DBP6,RET1,TIF5
Process	GO:0006139	nucleobase-containing compound metabolic process	4511	29	20	1378	2.47e-5	0.0011	YAL035W,YDL047W,YDR226W,YDR341C,YEL058W,YGL120C,YHR070W,YHR074W,YJL087C,YKR024C,YLR276C,YLR316C,YMR059W,YMR128W,YMR131C,YNL221C,YNL248C,YNR016C,YNR038W,YOR207C	FUN12,SIT4,ADK1,YDR341C,PCM1,PRP43,TRM5,QNS1,TRL1,DBP7,DBP9,TAD3,SEN15,ECM16,RRB1,POP1,RPA49,ACC1,DBP6,RET1
Process	GO:0006364	rRNA processing	4511	29	8	210	4.45e-5	0.0016	YAL035W,YGL120C,YKR024C,YLR276C,YMR128W,YMR131C,YNL221C,YNR038W	FUN12,PRP43,DBP7,DBP9,ECM16,RRB1,POP1,DBP6
Process	GO:0071704	organic substance metabolic process	4511	29	27	2681	6.15e-5	0.0017	YAL035W,YDL047W,YDR062W,YDR226W,YDR341C,YEL058W,YGL120C,YHR070W,YHR074W,YJL087C,YJL167W,YJR016C,YKR024C,YLR276C,YLR305C,YLR316C,YMR059W,YMR128W,YMR131C,YMR146C,YMR296C,YNL221C,YNL248C,YNR016C,YNR038W,YOR207C,YPR041W	FUN12,SIT4,LCB2,ADK1,YDR341C,PCM1,PRP43,TRM5,QNS1,TRL1,ERG20,ILV3,DBP7,DBP9,STT4,TAD3,SEN15,ECM16,RRB1,TIF34,LCB1,POP1,RPA49,ACC1,DBP6,RET1,TIF5
Process	GO:0044237	cellular metabolic process	4511	29	27	2688	6.55e-5	0.0017	YAL035W,YDL047W,YDR062W,YDR226W,YDR341C,YEL058W,YGL120C,YHR070W,YHR074W,YJL087C,YJL167W,YJR016C,YKR024C,YLR276C,YLR305C,YLR316C,YMR059W,YMR128W,YMR131C,YMR146C,YMR296C,YNL221C,YNL248C,YNR016C,YNR038W,YOR207C,YPR041W	FUN12,SIT4,LCB2,ADK1,YDR341C,PCM1,PRP43,TRM5,QNS1,TRL1,ERG20,ILV3,DBP7,DBP9,STT4,TAD3,SEN15,ECM16,RRB1,TIF34,LCB1,POP1,RPA49,ACC1,DBP6,RET1,TIF5
Process	GO:0008033	tRNA processing	4511	29	6	103	5.05e-5	0.0017	YDL047W,YHR070W,YJL087C,YLR316C,YMR059W,YNL221C	SIT4,TRM5,TRL1,TAD3,SEN15,POP1
Process	GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	4511	29	4	32	6.87e-5	0.0017	YGL120C,YKR024C,YLR276C,YNR038W	PRP43,DBP7,DBP9,DBP6
Process	GO:0006807	nitrogen compound metabolic process	4511	29	25	2372	1.6e-4	0.0035	YAL035W,YDL047W,YDR062W,YDR226W,YDR341C,YEL058W,YGL120C,YHR070W,YHR074W,YJL087C,YJR016C,YKR024C,YLR276C,YLR316C,YMR059W,YMR128W,YMR131C,YMR146C,YMR296C,YNL221C,YNL248C,YNR016C,YNR038W,YOR207C,YPR041W	FUN12,SIT4,LCB2,ADK1,YDR341C,PCM1,PRP43,TRM5,QNS1,TRL1,ILV3,DBP7,DBP9,TAD3,SEN15,ECM16,RRB1,TIF34,LCB1,POP1,RPA49,ACC1,DBP6,RET1,TIF5
Process	GO:0090304	nucleic acid metabolic process	4511	29	17	1158	1.8e-4	0.0038	YAL035W,YDL047W,YDR226W,YDR341C,YGL120C,YHR070W,YJL087C,YKR024C,YLR276C,YLR316C,YMR059W,YMR128W,YMR131C,YNL221C,YNL248C,YNR038W,YOR207C	FUN12,SIT4,ADK1,YDR341C,PRP43,TRM5,TRL1,DBP7,DBP9,TAD3,SEN15,ECM16,RRB1,POP1,RPA49,DBP6,RET1
Process	GO:0002183	cytoplasmic translational initiation	4511	29	3	16	2.1e-4	0.0042	YAL035W,YMR146C,YPR041W	FUN12,TIF34,TIF5
Process	GO:0042256	mature ribosome assembly	4511	29	2	2	2.3e-4	0.0045	YNL163C,YPR041W	RIA1,TIF5
Process	GO:0001732	formation of cytoplasmic translation initiation complex	4511	29	2	3	3.9e-4	0.0069	YAL035W,YPR041W	FUN12,TIF5
Process	GO:0010501	RNA secondary structure unwinding	4511	29	3	27	8.5e-4	0.0145	YKR024C,YLR276C,YNR038W	DBP7,DBP9,DBP6
Process	GO:0044085	cellular component biogenesis	4511	29	13	832	0.001	0.0171	YAL035W,YEL058W,YER036C,YGL120C,YKR024C,YLR276C,YMR128W,YMR131C,YNL163C,YNL221C,YNL248C,YNR038W,YPR041W	FUN12,PCM1,ARB1,PRP43,DBP7,DBP9,ECM16,RRB1,RIA1,POP1,RPA49,DBP6,TIF5
Process	GO:0006388	tRNA splicing, via endonucleolytic cleavage and ligation	4511	29	2	8	0.0017	0.0274	YJL087C,YMR059W	TRL1,SEN15
Process	GO:1901566	organonitrogen compound biosynthetic process	4511	29	11	682	0.0024	0.0358	YAL035W,YDR062W,YDR226W,YDR341C,YEL058W,YHR074W,YJR016C,YMR146C,YMR296C,YNR016C,YPR041W	FUN12,LCB2,ADK1,YDR341C,PCM1,QNS1,ILV3,TIF34,LCB1,ACC1,TIF5
RCTM	SCE-392499	Metabolism of proteins	4511	29	3	60	0.0072	0.0432	YAL035W,YEL058W,YPR041W	FUN12,PCM1,TIF5
SMART	SM00490	helicase superfamily c-terminal domain	4511	29	5	58	4.03e-5	6e-4	YGL120C,YKR024C,YLR276C,YMR128W,YNR038W	PRP43,DBP7,DBP9,ECM16,DBP6
SMART	SM00487	DEAD-like helicases superfamily	4511	29	5	61	5.05e-5	6e-4	YGL120C,YKR024C,YLR276C,YMR128W,YNR038W	PRP43,DBP7,DBP9,ECM16,DBP6
SMART	SM00847	Helicase associated domain (HA2)  Add an annotation	4511	29	2	7	0.0014	0.0069	YGL120C,YMR128W	PRP43,ECM16
